 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
         142460 function calls (138985 primitive calls) in 0.341 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      211    0.036    0.000    0.036    0.000 {built-in method marshal.loads}
  923/920    0.029    0.000    0.070    0.000 {built-in method builtins.__build_class__}
    239/1    0.016    0.000    0.341    0.341 {built-in method builtins.exec}
       13    0.011    0.001    0.015    0.001 {built-in method _imp.create_dynamic}
   326/94    0.011    0.000    0.033    0.000 sre_parse.py:470(_parse)
     3880    0.011    0.000    0.012    0.000 enum.py:517(__new__)
      478    0.007    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     6679    0.007    0.000    0.007    0.000 sre_parse.py:232(__next)
     1012    0.006    0.000    0.006    0.000 {built-in method posix.stat}
   562/89    0.006    0.000    0.033    0.000 sre_compile.py:64(_compile)
      190    0.006    0.000    0.008    0.000 sre_compile.py:250(_optimize_charset)
     1719    0.005    0.000    0.019    0.000 enum.py:803(__and__)
       16    0.004    0.000    0.010    0.001 enum.py:124(__new__)
      211    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     2571    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     5458    0.004    0.000    0.010    0.000 sre_parse.py:253(get)
     8889    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
     3893    0.004    0.000    0.026    0.000 enum.py:267(__call__)
      373    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x9cff80}
     2571    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
  866/407    0.003    0.000    0.004    0.000 sre_parse.py:173(getwidth)
        1    0.003    0.003    0.006    0.006 mimetypes.py:207(readfp)
     3024    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      211    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     3276    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      255    0.003    0.000    0.039    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      422    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      211    0.002    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      211    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
      381    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2057    0.002    0.000    0.003    0.000 sre_parse.py:163(__getitem__)
      236    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
    260/3    0.002    0.000    0.340    0.113 <frozen importlib._bootstrap>:966(_find_and_load)
      243    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     2730    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    243/3    0.002    0.000    0.340    0.113 <frozen importlib._bootstrap>:651(_load_unlocked)
     5583    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     9215    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
7792/7542    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    260/3    0.002    0.000    0.340    0.113 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
   245/89    0.002    0.000    0.034    0.000 sre_parse.py:407(_parse_sub)
        2    0.002    0.001    0.002    0.001 {method 'read' of '_io.BufferedReader' objects}
3223/3188    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      381    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
